cell_num,C-rate,Cycle Index,Step Index,Time,TotTime,Voltage,Current,NEP,Charge Capacity (Ah)
34,0.8C,4,10,0.0117,176004.0155,2.904685,0.002537,0.488874,0.0
34,0.8C,4,10,0.0643,176004.0681,2.955005,0.002542,0.444775,0.0
34,0.8C,4,10,0.2994,176004.3032,3.005264,0.002544,0.41692,0.0
34,0.8C,4,10,1.2996,176005.3034,3.040116,0.002544,0.402883,1e-06
34,0.8C,4,10,2.2997,176006.3035,3.057462,0.002544,0.395091,2e-06
34,0.8C,4,10,3.2997,176007.3035,3.070594,0.002544,0.388743,2e-06
34,0.8C,4,10,4.2998,176008.3036,3.081521,0.002544,0.383087,3e-06
34,0.8C,4,10,5.3,176009.3038,3.091228,0.002544,0.377836,4e-06
34,0.8C,4,10,6.3001,176010.3039,3.100015,0.002544,0.372968,4e-06
34,0.8C,4,10,7.3001,176011.3039,3.108148,0.002544,0.368371,5e-06
34,0.8C,4,10,8.3004,176012.3042,3.115727,0.002544,0.363929,6e-06
34,0.8C,4,10,9.3006,176013.3044,3.122972,0.002544,0.359629,7e-06
34,0.8C,4,10,10.3006,176014.3044,3.129783,0.002544,0.355514,7e-06
34,0.8C,4,10,11.3008,176015.3046,3.136298,0.002544,0.351919,8e-06
34,0.8C,4,10,12.301,176016.3048,3.142642,0.002544,0.347587,9e-06
34,0.8C,4,10,13.3011,176017.3049,3.148665,0.002544,0.343876,9e-06
34,0.8C,4,10,14.3012,176018.305,3.154474,0.002544,0.340114,1e-05
34,0.8C,4,10,15.3014,176019.3052,3.160159,0.002544,0.336523,1.1e-05
34,0.8C,4,10,16.3017,176020.3055,3.165582,0.002544,0.333,1.2e-05
34,0.8C,4,10,17.3018,176021.3056,3.170939,0.002544,0.329441,1.2e-05
34,0.8C,4,10,18.3019,176022.3057,3.176087,0.002544,0.326066,1.3e-05
34,0.8C,4,10,19.3022,176023.306,3.181118,0.002544,0.322693,1.4e-05
34,0.8C,4,10,20.3025,176024.3063,3.185946,0.002544,0.319464,1.4e-05
34,0.8C,4,10,21.3025,176025.3063,3.19078,0.002544,0.316227,1.5e-05
34,0.8C,4,10,22.3025,176026.3063,3.195388,0.002544,0.313034,1.6e-05
34,0.8C,4,10,23.3027,176027.3065,3.199986,0.002544,0.309947,1.6e-05
34,0.8C,4,10,24.3029,176028.3067,3.204443,0.002544,0.30686,1.7e-05
34,0.8C,4,10,25.3031,176029.3069,3.208762,0.002544,0.303802,1.8e-05
34,0.8C,4,10,26.3033,176030.3071,3.213021,0.002544,0.300863,1.9e-05
34,0.8C,4,10,27.3034,176031.3072,3.217212,0.002544,0.297926,1.9e-05
34,0.8C,4,10,28.3035,176032.3073,3.221255,0.002544,0.295015,2e-05
34,0.8C,4,10,29.3036,176033.3074,3.225269,0.002544,0.292152,2.1e-05
34,0.8C,4,10,30.3036,176034.3074,3.229143,0.002544,0.289362,2.1e-05
34,0.8C,4,10,31.3038,176035.3076,3.233024,0.002544,0.28655,2.2e-05
34,0.8C,4,10,32.3039,176036.3077,3.236816,0.002544,0.283812,2.3e-05
34,0.8C,4,10,33.3041,176037.3079,3.240562,0.002544,0.281089,2.4e-05
34,0.8C,4,10,34.3043,176038.3081,3.244164,0.002544,0.278383,2.4e-05
34,0.8C,4,10,35.3043,176039.3081,3.247763,0.002544,0.275704,2.5e-05
34,0.8C,4,10,36.3043,176040.3081,3.251308,0.002544,0.273097,2.6e-05
34,0.8C,4,10,37.3043,176041.3081,3.254809,0.002544,0.270517,2.6e-05
34,0.8C,4,10,38.3044,176042.3082,3.258185,0.002544,0.267949,2.7e-05
34,0.8C,4,10,39.3044,176043.3082,3.261581,0.002544,0.26543,2.8e-05
34,0.8C,4,10,40.3046,176044.3084,3.264877,0.002544,0.262909,2.8e-05
34,0.8C,4,10,41.3047,176045.3085,3.268177,0.002544,0.260437,2.9e-05
34,0.8C,4,10,42.3048,176046.3086,3.27135,0.002544,0.257891,3e-05
34,0.8C,4,10,43.305,176047.3088,3.274516,0.002544,0.255448,3.1e-05
34,0.8C,4,10,44.3051,176048.3089,3.27761,0.002544,0.253126,3.1e-05
34,0.8C,4,10,45.3053,176049.3091,3.2807,0.002544,0.250719,3.2e-05
34,0.8C,4,10,46.3055,176050.3093,3.283671,0.002544,0.248401,3.3e-05
34,0.8C,4,10,47.3055,176051.3093,3.286729,0.002544,0.246028,3.3e-05
34,0.8C,4,10,48.3057,176052.3095,3.289567,0.002544,0.243804,3.4e-05
34,0.8C,4,10,49.3059,176053.3097,3.292506,0.002544,0.241431,3.5e-05
