cell_num,C-rate,Cycle Index,Step Index,Time,TotTime,Voltage,Current,NEP,Charge Capacity (Ah)
7,1C,4,10,0.0091,202184.2138,2.768751,0.003173,0.615113,0.0
7,1C,4,10,0.0426,202184.2473,2.819703,0.003178,0.576968,0.0
7,1C,4,10,0.129,202184.3337,2.870161,0.00318,0.557074,0.0
7,1C,4,10,0.7722,202184.9769,2.920327,0.00318,0.543163,1e-06
7,1C,4,10,1.7724,202185.9771,2.948002,0.00318,0.536573,2e-06
7,1C,4,10,2.7724,202186.9771,2.96635,0.00318,0.530929,2e-06
7,1C,4,10,3.7724,202187.9771,2.980841,0.00318,0.525734,3e-06
7,1C,4,10,4.7725,202188.9772,2.993194,0.00318,0.520801,4e-06
7,1C,4,10,5.7731,202189.9778,3.004138,0.00318,0.516051,5e-06
7,1C,4,10,6.7733,202190.978,3.014102,0.00318,0.511512,6e-06
7,1C,4,10,7.7736,202191.9783,3.023222,0.00318,0.507095,7e-06
7,1C,4,10,8.7737,202192.9784,3.031785,0.00318,0.502805,8e-06
7,1C,4,10,9.7737,202193.9784,3.039826,0.00318,0.498665,9e-06
7,1C,4,10,10.7738,202194.9785,3.047433,0.00318,0.494609,1e-05
7,1C,4,10,11.7741,202195.9788,3.054634,0.00318,0.490642,1e-05
7,1C,4,10,12.7743,202196.979,3.061607,0.00318,0.486792,1.1e-05
7,1C,4,10,13.7746,202197.9793,3.068174,0.00318,0.482965,1.2e-05
7,1C,4,10,14.7747,202198.9794,3.07455,0.00318,0.479233,1.3e-05
7,1C,4,10,15.7749,202199.9796,3.080707,0.00318,0.475594,1.4e-05
7,1C,4,10,16.7749,202200.9796,3.086621,0.00318,0.47197,1.5e-05
7,1C,4,10,17.7749,202201.9796,3.092347,0.00318,0.468509,1.6e-05
7,1C,4,10,18.7749,202202.9796,3.097961,0.00318,0.464957,1.7e-05
7,1C,4,10,19.7752,202203.9799,3.103328,0.00318,0.461503,1.7e-05
7,1C,4,10,20.7754,202204.9801,3.108567,0.00318,0.458099,1.8e-05
7,1C,4,10,21.7755,202205.9802,3.113686,0.00318,0.454783,1.9e-05
